lat,lon,number
51.2590691,5.9870983,2
51.2592328,5.679692,1
51.2621632,5.6867309,1
51.2627643,5.6836688,1
51.263234,3.9144044,1
51.2633789,5.6893464,1
51.2640851,5.9245377,1
51.2650697,3.9159647,1
51.2667885,5.9211307,4
51.2676824,6.0353419,2
51.2700708,3.4534982,1
51.2709691,5.7080967,2
51.2713525,3.9052433,1
51.2714893,3.4372131,2
51.2719647,4.0523812,5
51.2727023,3.4506207,1
51.2727519,3.905714,4
51.2729801,4.0864756,3
51.2732136,5.5787958,2
51.2732342,4.0509827,3
51.2743096,5.5791586,1
51.2745899,3.4371384,1
51.2752091,5.7058334,1
51.27533,3.439988,1
51.2753405,4.0669737,3
51.2753964,6.0711935,1
51.2754883,6.0708509,4
51.2757303,5.5733892,1
51.2757616,5.5706664,2
51.2760621,5.7742854,1
51.2765307,4.0680716,2
51.2767453,3.8341467,1
51.2770753,5.7528539,2
51.2775648,6.0708532,5
51.2777331,5.5687539,1
51.2781261,5.575993,2
51.279215,6.0895962,1
51.2794497,3.7596874,1
51.2804405,5.2890514,1
51.2826386,6.067102,1
51.2834807,6.0932452,1
51.2839689,3.7581934,1
51.2841182,5.8973093,5
51.2841683,6.0939868,4
51.2847958,3.7588235,1
51.2849144,5.7379662,4
51.2850151,4.0490045,4
51.2855709,6.080491,5
51.2859726,6.089958,3
51.2861667,4.0514366,3
51.2861671,5.739868,2
51.2861768,5.7396387,1
51.2871122,6.0902908,2
51.28763,6.0923631,8
51.2879817,6.0461515,1
51.2886567,5.7309707,1
51.289518,3.4006405,1
51.2900777,6.0474719,2
51.2901426,6.0856209,5
51.2901843,6.0801452,6
51.2907725,4.0524778,2
51.2917617,6.0548078,2
51.2943456,6.0572255,2
51.2946325,6.0510933,2
51.2978338,4.1480166,2
51.3018648,6.0517719,1
51.302321,5.5664138,2
51.3057581,6.1161617,2
51.3063488,3.8585141,1
51.30745,6.1144103,1
51.3083769,5.6187546,4
51.3110413,3.7784304,1
51.3114073,5.6181533,2
51.3115645,5.4667713,1
51.3120137,3.9136944,1
51.3126573,3.7776132,2
51.3133433,3.915043,1
51.3144449,5.9722191,1
51.314675,5.6111129,2
51.3148166,3.9149525,1
51.3153621,5.3533069,2
51.3155172,3.8495284,2
51.3164804,3.8496251,4
51.3174582,3.8569663,5
51.3178772,5.9918577,1
51.3188291,3.8457156,1
51.3193041,3.8388274,5
51.3194554,3.8400705,1
51.3195969,3.8412421,2
51.3201699,5.3493298,2
51.3203858,3.484716,2
51.3214715,3.8409205,2
51.3219664,6.0022982,1
51.3235351,3.9817483,5
51.3240479,3.8672629,1
51.3248323,3.9864434,9
51.3253423,6.0962447,1
51.3253955,3.4859281,2
51.3254544,3.5017106,3
51.3256314,3.8319552,3
51.3263128,3.488143,1
51.3266166,3.8663884,2
51.3270937,3.5035659,1
51.3277685,3.8651017,3
51.3288441,3.4906497,2
51.3298211,3.6853951,2
51.3298535,3.8678018,6
51.3306942,3.8633396,2
51.3312179,3.85939,1
51.3312423,3.8435175,2
51.3321943,5.9905549,2
51.3323015,5.395652,1
51.3323749,3.8523481,3
51.3340715,5.4030422,1
51.3341298,3.864818,1
51.3341705,5.4016216,2
51.3347702,3.8458381,1
51.3350629,3.823956,1
51.3353751,6.1306687,2
51.3359667,5.9479989,1
51.3360403,5.4004742,2
51.3361306,3.8325308,2
51.3364806,5.9476751,1
51.337722,5.8841167,1
51.338048,3.8246576,1
51.341668,4.0694498,1
51.3432757,5.4541393,1
51.3450614,5.4592228,1
51.3458339,5.4600421,1
51.3463778,3.5388485,1
51.3466053,5.8814718,1
51.3479276,6.1591078,1
51.3498022,5.88643,1
51.349998,5.4700968,2
51.3502058,5.4544078,1
51.3502972,5.4327472,1
51.3503062,5.4663223,1
51.3519467,5.4593916,1
51.3524237,5.3022616,2
51.3524328,5.4715655,1
51.3528565,5.4562062,1
51.3528936,5.3199033,2
51.3530977,5.4586326,1
51.3537126,5.4668162,1
51.3541907,5.4493031,1
51.3545725,5.4575438,2
51.3546906,5.3046979,2
51.3554375,5.4681686,1
51.356954,3.6042303,1
